% Idle Thrust Table
% The Function is T(mach, altitude)
% Ranges are:
    % altitude = 0 to 50000 ft
    % mach = 0 to 1 
% ------------------------------------------------------------------ %
 1060  670   880   1140  1500  1860
 635   425   690   1010  1330  1700
 60    25    345   755   1130  1525
-1020 -710  -300   350   910   1360
-2700 -1900 -1300 -247   600   1100
-3600 -1400 -595  -342  -200   700
